font_id,comfortaa
alert_no_info,[@archive] :: Dados perdidos. Procure o seu histórico de entropia local pós-transformação.
menu_game_title,Submachine+newline+Legacy
menu_start_new,novo jogo
menu_continue,continuar
menu_settings,configurações
menu_controls,controles
menu_controls_mouse,controles do mouse
menu_controls_gamepad,controles do gamepad
menu_credits,créditos
menu_audio,áudio
menu_rgb,cor da interface
menu_rgb_default,cor padrão da interface
menu_volume,volume
menu_volume_master,volume principal
menu_volume_sfx,volume sfx
menu_volume_mus,volume da música
menu_sfx,efeitos sonoros
menu_mus,música
menu_sfx_move_sound,som de transição
menu_sfx_find_sound,som de item encontrado
menu_sfx_sound_0,modernizado
menu_sfx_sound_1,original
menu_fullscreen,tela cheia
menu_screen_shake,vibração da tela
menu_lights_flicker,luzes piscantes
menu_speedrun,modo speedrun
menu_speedrun_btn,modo speedrun
menu_pause,pausar o jogo
menu_navigate,navegar
menu_move_cursor,mover cursor
menu_delete_saves,deletar todos os saves
menu_yes_delete,"sim, deletar todos os saves"
menu_yes_start_new,"sim, começar novo jogo"
menu_cancel,cancelar
menu_back,voltar
menu_back_to_main,voltar ao menu principal
menu_hold_to_skip,segure para pular
menu_close,fechar
menu_save_and_exit,salvar e sair
menu_zoom,zoom
menu_exit,sair
menu_continue,continuar
menu_inventory,inventário
menu_tickets,tickets do teletransportador
menu_yes,sim
menu_no,não
menu_0,desligado
menu_1,ligado
menu_chapter,capítulo
menu_chapter_optional,seção opcional
menu_chapter_title_1,the Basement
menu_chapter_title_2,the Lighthouse
menu_chapter_title_3,the Loop
menu_chapter_title_4,the Lab
menu_chapter_title_5,the Root
menu_chapter_title_6,the Edge
menu_chapter_title_7,the Core
menu_chapter_title_8,the Plan
menu_chapter_title_9,the Temple
menu_chapter_title_10,the Exit
menu_chapter_title_f,the Future
menu_chapter_title_0,the Ruin
menu_chapter_title_32,the Sand
menu_chapter_subtitle_n,tarefa prioritária
menu_chapter_title_n,Quadrante Despedaçado
menu_chapter_title_loop,romper o loop
menu_start_new_info,Isso vai deletar seu progresso+newline+Você já começou este capítulo anteriormente.+newline+Você realmente quer começar um novo jogo?
menu_delete_saves_info,Isso vai deletar todo o progresso em todos os capítulos.+newline++newline+Somente as configurações ficarão intactas+newline+e os capítulos que você desbloqueou até agora.+newline++newline+Tem certeza que quer deletar todos os dados salvos?
menu_speedrun_info,"Esse modo torna as transições entre salas muito mais rápidas.+newline+É uma opção desenvolvida para facilitar a vida de speedrunners.+newline++newline+Se você não é um speedrunner,+newline+Você provavelmente deixará essa opção desligada.+newline++newline+Se você é um speedrunner, então bem-vindo à velocidade."
menu_credits_info_0,jogo criado por
menu_credits_info_1,Mateusz Skutnik
menu_credits_info_2,(traduzido por: Valps)
menu_credits_info_3,musica e efeitos sonoros criados por
menu_credits_info_4,ThumpMonks
menu_credits_info_5,
menu_credits_info_6,com a música do capítulo 1 criado por
menu_credits_info_7,Marcus Gutierrez
menu_thanks,"Obrigado do fundo do coração+newline+por jogar Submachine: Legacy.+newline++newline+Por finalizar toda a história principal+newline+e ficar por aqui pelo tempo que ficou.+newline++newline+Para mim esta jornada durou por 18 anos.+newline+Eu sei que para alguns de vocês também.+newline+Eu te saúdo.+newline++newline+Novamente obrigado. Espero te ver no próximo capítulo da série Submachine:+newline++newline++newline+Submachine: the Engine.+newline++newline++newline+Mateusz Skutnik, 2023."
